step,error,energy,q0,q1,q2,q3,q4,q5
0,0,0.00507531,-0.000609829,-0.00543409,0.00342145,-0.00537595,0.00016662,0.00372409
1,0.018732,0.0179369,-0.000441572,-0.00806704,0.00573411,-0.00437212,0.01079,0.00558251
2,0.0349874,0.0146679,0.00466348,-0.00414942,0.00509501,-0.00605568,0.00735401,0.0121243
3,0.0394419,0.033684,-1.57895e-05,-0.017511,0.00123182,-0.00866323,-0.00272268,0.0123763
4,0.0425208,0.00469609,-0.00448914,-0.0175764,0.000308925,-0.0120602,-0.0030916,0.0166676
5,0.0541939,0.0249124,-0.00260459,-0.0213226,0.00732133,-0.00803069,-0.0047682,0.0200306
6,0.064078,0.0300217,0.0034534,-0.0210897,0.0058969,-0.00227651,-0.0113401,0.0193756
7,0.0634322,0.0190175,0.00109931,-0.0207277,0.0142642,-0.00232769,-0.0133683,0.0177996
8,0.0695869,0.0157665,-0.00193499,-0.0287084,0.00932446,0.00165819,-0.00784512,0.0111724
9,0.0606436,0.0138573,-0.0067931,-0.0208593,0.010119,0.000848628,-0.000754462,0.00120456
10,0.040579,0.0197828,-0.00395244,-0.0209289,0.0126978,-0.00513935,0.00482875,0.0039913
11,0.0515386,0.0196813,-0.0111302,-0.0214977,0.0174036,-0.00623343,0.0027387,-0.00124989
12,0.0602536,0.00849797,-0.0118035,-0.0270013,0.021135,-0.00664534,0.00321765,-0.00158317
13,0.0713859,0.0135301,-0.0117083,-0.0212918,0.0203463,-6.40229e-06,0.00872829,0.000669887
14,0.062751,0.0248501,-0.0110444,-0.0209956,0.0209815,-0.00926789,0.0136815,-0.000461063
15,0.076432,0.030692,-0.00639284,-0.0160403,0.0172723,-0.00905367,0.0237056,-0.00106998
16,0.0735346,0.011336,-0.00251251,-0.0303224,0.0239992,-0.0103751,0.0212325,-0.00312986
17,0.0915716,0.0238834,-0.00541257,-0.022306,0.0285756,-0.00791823,0.0150269,-0.000322668
18,0.0795619,0.0261589,-0.00265171,-0.0229905,0.0239493,-0.0128623,0.0115057,0.00426586
19,0.0782253,0.0119479,-0.00456835,-0.0169721,0.0221633,-0.0145489,0.0092589,0.00289577
20,0.0704073,0.0151299,0.00142107,-0.0142338,0.0256519,-0.00793739,0.00098354,0.00738104
21,0.0576087,0.0123236,0.00177265,-0.0193724,0.033938,-0.00434606,0.0017726,0.00664017
22,0.0678419,0.0112629,-0.00755953,-0.0164883,0.0462919,-0.000344177,-0.00798992,0.00143702
23,0.0801109,0.0207973,-0.0182268,-0.0215402,0.0455173,-0.00167482,-0.00211892,0.00596154
24,0.0950396,0.0287105,-0.00803178,-0.0240388,0.0401542,-5.44373e-05,-0.000566234,-0.0046644
25,0.0775099,0.0188705,-0.0088034,-0.0180385,0.0480081,-0.00203152,0.00471599,-0.000593891
26,0.0821914,0.0142489,-0.00756802,-0.0160178,0.048051,-0.0031296,-0.00263295,0.000544162
27,0.0779435,0.0184204,-0.000339965,-0.0116354,0.043912,-0.0102334,-0.00587556,-0.00101073
28,0.0730071,0.0151649,-0.00282033,-0.015785,0.0551471,-0.0227074,-0.00460424,-0.00234303
